player_id,player_name,year,ipl_batting_score,ipl_bowling_score,intl_t20_batting_score,intl_t20_bowling_score,other_t20_batting_score,other_t20_bowling_score,batting_score,bowling_score,keeping_score,value_score,ipl_matches_played,intl_t20_matches_played,other_t20_matches_played,has_ipl_history,has_intl_history,has_other_t20_history,primary_role,is_overseas,capped,value_score_tier,base_price_cr,price_cr,price_to_base_multiplier,price_pct_of_purse,prior_price_pct_of_purse,has_prior_sale,role_scarcity
39f01cdb,Kevin Pietersen,2016,70.82621407756145,,65.203047977161,,49.70238095238096,,66.25184758368427,,,66.3,32,37,41,1,1,1,Batter,Yes,1,IPL/IPL,2.0,3.5,1.75,5.426356589147287,15.0,1,11
39f82db3,Daniel Harris,2012,,,,,,,,,,,0,0,2,0,0,1,Batter,Unknown,0,,0.25,0.34,1.36,0.7709750566893424,0.0,0,9
3c55c703,Jacob Bethell,2025,,,31.490977046024796,,40.997676107480025,,40.997676107480025,,,41.0,0,7,48,0,1,1,Batter,Yes,1,OTHER_T20/FRANCHISE,1.25,2.6,2.08,2.166666666666667,0.0,0,41
3c6ffae8,Yusuf Pathan,2011,73.30049261083744,44.99999999999999,56.71428571428572,37.413333333333334,,,68.42219646479282,42.76862745098039,,60.7,43,17,0,1,1,0,All-rounder,No,1,IPL/IPL,1.35,9.45,7.0,23.333333333333332,0.0,0,18
3c6ffae8,Yusuf Pathan,2014,76.86232909005186,42.59259259259259,54.61491699789572,32.85714285714286,,,70.31897259235888,39.729225023342664,,61.1,91,21,0,1,1,0,All-rounder,No,1,IPL/IPL,2.0,3.25,1.62,5.416666666666667,23.333333333333332,1,21
3d284ca3,Phil Salt,2023,,,64.10793650793651,,51.346854203997054,,59.32253064395921,,63.51281521289789,60.2,0,13,149,0,1,1,Wicketkeeper,Yes,1,INTL_T20/FULL_MEMBER,2.0,2.0,1.0,2.1052631578947367,0.0,0,4
3d284ca3,Phil Salt,2025,69.44444444444446,,81.85120827230105,,44.64273578952478,,68.82587910317065,,70.57355855202745,69.2,21,38,204,1,1,1,Wicketkeeper,Yes,1,IPL/IPL,2.0,11.5,5.75,9.583333333333334,2.1052631578947367,1,14
3d8feaf8,Mitchell Marsh,2016,,,26.142911010558073,18.419135551948052,39.575630252100844,19.929411764705883,39.575630252100844,19.929411764705883,,33.7,17,4,18,1,1,1,All-rounder,Yes,1,OTHER_T20/FRANCHISE,2.0,4.8,2.4,7.441860465116279,0.0,0,10
3d8feaf8,Mitchell Marsh,2020,,,42.400585871896226,,44.88425925925926,11.587837837837839,43.33196339215736,11.587837837837839,,33.8,20,11,35,1,1,1,All-rounder,Yes,1,INTL_T20/FULL_MEMBER,2.0,2.0,1.0,2.3529411764705883,7.441860465116279,1,8
3d8feaf8,Mitchell Marsh,2022,,,55.48096944294213,55.070422535211264,54.624498597540956,18.085568326947637,55.15979287591669,41.201102207112406,,51.0,21,36,65,1,1,1,All-rounder,Yes,1,INTL_T20/FULL_MEMBER,2.0,6.5,3.25,7.222222222222221,2.3529411764705883,1,17
3d8feaf8,Mitchell Marsh,2025,48.02703690171721,64.95891863238802,62.323930846223824,47.38203711996816,53.76035484427661,19.286248561565014,52.46125807922777,53.713797743659605,,53.3,42,63,68,1,1,1,All-rounder,Yes,1,IPL/IPL,2.0,3.4,1.7,2.833333333333333,7.222222222222221,1,24
3e6e9a5f,Shubman Gill,2018,,,,,,,,,,,0,0,0,0,0,0,Bowler,Yes,1,,0.2,1.8,9.0,2.25,0.0,0,30
3e6e9a5f,Shubman Gill,2022,,,,,,,,,,,0,0,0,0,0,0,Bowler,Yes,1,,2.0,8.0,4.0,8.88888888888889,2.25,1,25
3e6e9a5f,Shubman Gill,2025,,,30.73395466826423,24.145761372606074,,,30.73395466826423,24.145761372606074,,24.1,0,6,0,0,1,0,Bowler,Yes,1,INTL_T20/ASSOCIATE_FRINGE,2.0,16.5,8.25,13.750000000000002,8.88888888888889,1,47
3eac9d95,Jacob Oram,2013,,,58.997870346707565,22.787692307692303,,,58.997870346707565,22.787692307692303,,48.1,17,37,0,1,1,0,All-rounder,Yes,1,INTL_T20/FULL_MEMBER,0.27,0.38,1.41,0.7747196738022427,0.0,0,12
3fb19989,Mitchell Starc,2014,,,,65.64270152505446,21.39104797641383,23.42994726447173,21.39104797641383,65.64270152505446,,65.6,0,10,7,0,1,1,Bowler,Yes,1,INTL_T20/FULL_MEMBER,1.5,5.0,3.33,8.333333333333332,0.0,0,15
3fb19989,Mitchell Starc,2018,,73.13459801264679,,62.82502057613168,19.91566489609543,24.65634164222874,19.91566489609543,70.10236935484822,,70.1,27,22,10,1,1,1,Bowler,Yes,1,IPL/IPL,2.0,9.4,4.7,11.75,8.333333333333332,1,30
3fb19989,Mitchell Starc,2024,,74.49116904962153,56.47431638129312,54.72465663832571,20.65203983318539,25.468721901091847,56.47431638129312,68.67748892865218,,68.7,27,58,10,1,1,1,Bowler,Yes,1,IPL/IPL,2.0,24.75,12.38,24.75,11.75,1,10
3fb19989,Mitchell Starc,2025,,66.903073286052,57.56084656084656,44.02077778799302,20.581891915436238,25.414079615281857,57.56084656084656,60.17298637485818,,60.2,40,65,10,1,1,1,Bowler,Yes,1,IPL/IPL,2.0,11.75,5.88,9.791666666666666,24.75,1,47
43247512,Venkatesh Iyer,2022,,,,,,,,,,,0,0,0,0,0,0,Batter,Yes,1,,2.0,8.0,4.0,8.88888888888889,0.0,0,25
43247512,Venkatesh Iyer,2025,,,,,,,,,,,0,2,0,0,1,0,Batter,Yes,1,,2.0,23.75,11.88,19.791666666666664,8.88888888888889,1,41
43247512,Venkatesh Iyer,2026,,,,,,,,,,,0,2,0,0,1,0,Batter,Yes,1,,2.0,7.0,3.5,5.6000000000000005,19.791666666666664,1,3
4329fbb5,Shane Watson,2011,70.79689018464529,58.75,53.2255291005291,32.0,,,65.62884280696406,50.88235294117647,,61.2,21,20,0,1,1,0,All-rounder,Yes,1,IPL/IPL,2.0,5.85,2.92,14.444444444444443,0.0,0,18
4329fbb5,Shane Watson,2014,75.26708074534162,62.1763085399449,72.10424885209855,53.93379790940766,,,74.33683607085837,59.75204070743395,,70.0,55,39,1,1,1,1,All-rounder,Yes,1,IPL/IPL,2.0,12.5,6.25,20.833333333333336,14.444444444444443,1,21
4329fbb5,Shane Watson,2016,75.1512217790342,47.75401069518717,57.364124597207294,36.78413337165851,,,69.91972260790864,44.52757618826698,,62.3,78,49,2,1,1,1,All-rounder,Yes,1,IPL/IPL,2.0,9.5,4.75,14.728682170542637,20.833333333333336,1,10
4329fbb5,Shane Watson,2018,56.79550717423766,53.1045871559633,75.12052747252748,47.117543859649125,49.72202423378474,24.15168269230769,60.315739807742176,47.26489066233641,,56.4,102,58,51,1,1,1,All-rounder,Yes,1,IPL/IPL,1.0,4.0,4.0,5.0,14.728682170542637,1,25
