auction_name,auction_role,auction_country,player_id,matched_registry_name,tier
Ben Dwarshuis,BOWLER,Australia,e1b9f3a9,BJ Dwarshuis,2-fuzzy
Ben Howell,ALL-ROUNDER,England,0bec3a6c,BAC Howell,A-auto
Ben McDermott,WICKETKEEPER,Australia,c41043e6,BR McDermott,2-fuzzy
Benjamin Sears,BOWLER,New Zealand,e1891e00,BV Sears,2-fuzzy
Bevan John Jacobs,BATTER,New Zealand,972f217b,BJ Jacobs,1b-abbrev-exact
Bhagmender Lather,WICKETKEEPER,India,44cb17b4,Bhagmender Lather,1-exact
Bhanuka Rajapaksa,BATTER,Sri Lanka,6c882e9a,PBB Rajapaksa,2-fuzzy
Bharat Sharma,ALL-ROUNDER,India,2314745e,Bharat Sharma,1-exact
Bhuvneshwar Kumar,BOWLER,India,2e81a32d,B Kumar,B-manual
Bipin Saurabh,WICKETKEEPER,India,4cb5e3d1,Bipin Saurabh,1-exact
Blessing Muzarabani,BOWLER,Zimbabwe,449f4e3c,B Muzarabani,1b-abbrev-exact
Brandon King,BATTER,West Indies,7fca84b7,BA King,2-fuzzy
Brandon McMullen,ALL-ROUNDER,Scotland,436c763a,BJ McMullen,2-fuzzy
Brydon Carse,ALL-ROUNDER,England,cad40f5e,BA Carse,2-fuzzy
Charith Asalanka,ALL-ROUNDER,Sri Lanka,732c038e,KIC Asalanka,2-fuzzy
Chetan Sakariya,BOWLER,India,2cdce1be,C Sakariya,1b-abbrev-exact
Chintal Gandhi,BOWLER,India,c5eff91b,Chinta Gandhi,2-fuzzy
Chris Green,ALL-ROUNDER,Australia,eaa76d3c,C Green,1b-abbrev-exact
Chris Jordan,BOWLER,England,ffe699c0,CJ Jordan,2-fuzzy
Cooper Connolly,ALL-ROUNDER,Australia,fe366f34,C Connolly,1b-abbrev-exact
Corbin Bosch,ALL-ROUNDER,South Africa,172dff15,C Bosch,1b-abbrev-exact
Dan Lawrence,ALL-ROUNDER,England,4b685e2d,DW Lawrence,2-fuzzy
Daniel Mousley,ALL-ROUNDER,England,876dbe2d,DR Mousley,2-fuzzy
Daniel Sams,ALL-ROUNDER,Australia,caf69bf7,DR Sams,2-fuzzy
Daniel Worrall,BOWLER,England,208f22ea,DJ Worrall,2-fuzzy
Darshan Nalkande,ALL-ROUNDER,India,cd8d2859,DG Nalkande,2-fuzzy
Daryl Mitchell,ALL-ROUNDER,New Zealand,eade4650,DJ Mitchell,2-fuzzy
Daryn Dupavillon,BOWLER,South Africa,7cb2d9d2,DM Dupavillon,2-fuzzy
Dasun Shanaka,ALL-ROUNDER,Sri Lanka,3ff033bb,MD Shanaka,2-fuzzy
David Miller,BATTER,South Africa,d67d5f00,DA Miller,2-fuzzy
David Payne,BOWLER,England,6c79c098,DA Payne,2-fuzzy
David Warner,BATTER,Australia,dcce6f09,DA Warner,2-fuzzy
Deepak Chahar,BOWLER,India,23eeb873,DL Chahar,A-auto
Deepak Hooda,ALL-ROUNDER,India,73ad96ed,DJ Hooda,2-fuzzy
Devdutt Padikkal,BATTER,India,2c25d4f5,D Padikkal,1b-abbrev-exact
Devon Conway,BATTER,New Zealand,df5a6881,DP Conway,2-fuzzy
Dewald Brevis,BATTER,South Africa,844e79d1,D Brevis,1b-abbrev-exact
Dhruv Jurel,WICKETKEEPER,India,bcf325d2,Dhruv Jurel,1-exact
Digvesh Singh,BOWLER,India,13fc5c6d,DS Rathi,B-manual
