auction_name,auction_role,auction_country,player_id,matched_registry_name,tier,confidence,note
Mohammad Shami,BOWLER,India,8cf9814c,Mohammed Shami,2-fuzzy,92.9,
Mohammad Siraj,BOWLER,India,2f49c897,Mohammed Siraj,2-fuzzy,92.9,
Harry Brook,BATTER,England,4ae1755b,HC Brook,2-fuzzy,93.3,
Devon Conway,BATTER,New Zealand,df5a6881,DP Conway,2-fuzzy,94.1,
Jake Fraser-Mcgurk,BATTER,Australia,9b6e1b3f,J Fraser-McGurk,2-fuzzy,90.9,
Aiden Markram,BATTER,South Africa,6a26221c,AK Markram,2-fuzzy,94.7,
Devdutt Padikkal,BATTER,India,2c25d4f5,D Padikkal,1b-abbrev-exact,,
Rahul Tripathi,BATTER,India,77255a9e,RA Tripathi,2-fuzzy,95.2,
David Warner,BATTER,Australia,dcce6f09,DA Warner,2-fuzzy,94.1,
Ravichandaran Ashwin,ALL-ROUNDER,India,495d42a5,R Ashwin,1b-abbrev-exact,,
Venkatesh Iyer,ALL-ROUNDER,India,a24be938,VR Iyer,2-fuzzy,92.3,
Mitchell Marsh,ALL-ROUNDER,Australia,3d8feaf8,MR Marsh,A-auto,,"manual: MR+surname, first-initial"
Glenn Maxwell,ALL-ROUNDER,Australia,b681e71e,GJ Maxwell,2-fuzzy,94.7,
Harshal Patel,ALL-ROUNDER,India,f986ca1a,HV Patel,B-manual,,"manual: country-conflict caught H Patel(Canada); real Harshal Vishnu Patel is HV Patel, India"
Rachin Ravindra,ALL-ROUNDER,New Zealand,ba5e1069,R Ravindra,1b-abbrev-exact,,
Marcus Stoinis,ALL-ROUNDER,Australia,d9273ee7,MP Stoinis,2-fuzzy,94.7,
Jonny Bairstow,WICKETKEEPER,England,abb83e27,JM Bairstow,2-fuzzy,95.2,
Quinton De Kock,WICKETKEEPER,South Africa,372455c4,Q de Kock,B-manual,,manual: SA/Wicketkeeper exact
Rahmanullah Gurbaz,WICKETKEEPER,Afghanistan,0bacade8,Rahmanullah Gurbaz,1-exact,,
Ishan Kishan,WICKETKEEPER,India,752f7486,Ishan Kishan,1-exact,,
Phil Salt,WICKETKEEPER,England,3d284ca3,PD Salt,2-fuzzy,92.3,
Jitesh Sharma,WICKETKEEPER,India,800d2d97,JM Sharma,B-manual,,manual: India/Wicketkeeper - role exact
Syed Khaleel Ahmed,BOWLER,India,a2f46292,KK Ahmed,2-fuzzy,87.5,
Trent Boult,BOWLER,New Zealand,a818c1be,TA Boult,2-fuzzy,93.3,
Josh Hazlewood,BOWLER,Australia,03806cf8,JR Hazlewood,2-fuzzy,95.7,
Avesh Khan,BOWLER,India,eef2536f,Avesh Khan,1-exact,,
Prasidh Krishna,BOWLER,India,85e0cf10,M Prasidh Krishna,2-fuzzy,93.8,
