player_id,player_name,country,primary_role
068c47d2,JJ Davidson,Scotland,Bowler
068d27fe,A Heywood,,Bowler
068fe71c,W Sanders,,Bowler
06907633,AR Nair,Bahamas,Batter
0697b5a1,NN Banner,Belize,Bowler
06989091,Javid Patel,Zambia,Batter
069a5170,O Patterson,,Bowler
069c55b1,MD Hunn,,Bowler
069d0889,Ivan Genchev,Bulgaria,Batter
069fbf56,Ngangom Rajesh Singh,,Batter
06adaa46,D Siva Kumar,United States of America,Bowler
06b387f1,Waseem Yaqoob,Lesotho,Bowler
06b45b20,A Venkatesh,Sweden,Batter
06b766f4,R Francis,St Helena,Batter
06b8bdb3,AM Rajpurohit,Gambia,Batter
06bcade5,ASF Sirah,Philippines,Bowler
06c2de82,L Gregory,England,All-rounder
06cad4f0,A Sharafu,United Arab Emirates,Batter
06fc82b8,T Musekiwa,Zimbabwe,Batter
07160156,A Tripathi,Mexico,Batter
0730a707,SI Kamea,Papua New Guinea,Bowler
073126d6,LS Barkania,Tanzania,Bowler
073ef5a0,S Pokhriyal,Czech Republic,Batter
074acfb4,Asif Khan,United Arab Emirates,Batter
075a9439,Adeshlie Alias,Malaysia,Batter
075d569e,Ahmed Shah,,Batter
07687c15,Sultan Ahmed,United Arab Emirates,Bowler
07697ab0,C Nethsara,,Batter
0773c16a,TP Kaber,,Bowler
07793daf,JR Lennox,New Zealand,Bowler
077da288,CP Singh,,Bowler
077f83bf,M Abinash,,Bowler
0782aec3,Muhammad Ajmal,Malta,Bowler
078ffbf2,WS Davis,,Bowler
07a67c50,Noor Hossain,,Bowler
07ac9c54,C Roberts,France,Batter
07b6c3c1,LU Igalagamage,,Batter
07b6f54c,DDP D'Silva,United Arab Emirates,Batter
07c8a2f4,LA Procter,,Bowler
07d6ffca,Lee Jungwan,South Korea,Bowler
07e5bda2,L Monanthane,Lesotho,Bowler
07ff32f5,Khurram Nawaz,Oman,Batter
080c624a,RL De silva,Peru,Batter
0813a8b1,D Marks,Malta,Bowler
0827b38d,TG Mokoena,,Batter
0834996c,Gaurav Puri,,Batter
0837bb5f,Sanjay Kumar,Hungary,Batter
083c2d59,Sanidhya Hurkat,,Batter
083e01d9,Matiullah Khan,United Arab Emirates,Bowler
083ffc5d,Komang Putra,Indonesia,Bowler
084708eb,Ankit Kaushik,,Batter
0848ac5f,S Thakor,Tanzania,All-rounder
085071f2,Amit Uniyal,Chile,Batter
08548b13,PHKD Mendis,Sri Lanka,All-rounder
085c1a4c,Ziaur Rehman,Finland,Batter
0861a8d6,Rajesh Dhuper,,Wicketkeeper
0867d81f,K Cotani,,Batter
086f5984,Junaid Khan,Pakistan,Bowler
087210b1,DJ Vilas,South Africa,Wicketkeeper
0890552f,A Manohar,,Batter
089ebf89,K Juma,Tanzania,Bowler
08a11820,NN Sen Chowdhary,,Batter
08a349ac,Karan Shinde,,Batter
08a4f9ad,DC Thomas,West Indies,Wicketkeeper
08a935b0,TN Cullen,,Batter
08b15b9e,A Kharel,,Bowler
