player_id,player_name,primary_role,country,ipl_batting_score,intl_t20_batting_score,other_t20_batting_score,ipl_bowling_score,intl_t20_bowling_score,other_t20_bowling_score,batting_score,bowling_score,keeping_score,value_score,value_score_tier
a28a7fba,A Johnson,Batter,Canada,,29.44608451614723,,,21.254061527825787,,29.44608451614723,21.254061527825787,,29.4,INTL_T20/ASSOCIATE_FRINGE
db1bf9c2,RN Patel,Batter,Kenya,,29.41425555290744,,,30.732866098037203,,29.41425555290744,30.732866098037203,,29.4,INTL_T20/ASSOCIATE_FRINGE
edc950ce,Sajid Khan Afridi,Batter,Greece,,29.355110188444353,,,15.188219093618333,,29.355110188444353,15.188219093618333,,29.4,INTL_T20/ASSOCIATE_FRINGE
8ff85f5c,R Pretorius,Batter,,,,29.35700440045708,,,24.56298394162472,29.35700440045708,24.56298394162472,,29.4,OTHER_T20/FRINGE
f88dc8de,RB Patel,Batter,Uganda,,29.360951351026394,,,,,29.360951351026394,,,29.4,INTL_T20/ASSOCIATE_FRINGE
44e00a4c,N Senamontree,All-rounder,Thailand,,8.28494550595938,,,38.46604774535809,,8.28494550595938,38.46604774535809,,29.4,INTL_T20/ASSOCIATE_FRINGE
c10747c3,Imran Arif,Bowler,Saudi Arabia,,28.963992240890278,,,29.417344157655346,,28.963992240890278,29.417344157655346,,29.4,INTL_T20/ASSOCIATE_FRINGE
81898acc,KJ Ferrary,Batter,Gibraltar,,29.444048571450658,,,29.357144178398933,,29.444048571450658,29.357144178398933,,29.4,INTL_T20/ASSOCIATE_FRINGE
fc63d916,AW Finch,Bowler,,,,22.988133764832796,,,29.39345738295318,22.988133764832796,29.393457382953176,,29.4,OTHER_T20/FRANCHISE
dfcdb11e,LT Bichard,Bowler,Guernsey,,22.36243664801087,,,29.419240355733315,,22.36243664801087,29.419240355733315,,29.4,INTL_T20/ASSOCIATE_FRINGE
652ee2b0,NI Standford,Batter,United States of America,,29.28093305277335,,,,,29.28093305277335,,,29.3,INTL_T20/ASSOCIATE_FRINGE
145903a5,Arjit Gupta,Batter,,,,29.349268565829075,,,,29.349268565829075,,,29.3,OTHER_T20/SMAT
2a00735b,Saran Aslam,Batter,Denmark,,29.26248504709065,,,22.266709718705915,,29.26248504709065,22.266709718705915,,29.3,INTL_T20/ASSOCIATE_FRINGE
940255af,A Mongar,Bowler,Bhutan,,18.509919717692704,,,29.285986130594996,,18.509919717692704,29.285986130594996,,29.3,INTL_T20/ASSOCIATE_FRINGE
